,Protein,Label,log2FC,SE,Tvalue,DF,pvalue,adj.pvalue,issue,MissingPercentage,ImputationPercentage
135,ANGL7_MOUSE,ST-LT,-1.01396023826968,0.730443804587087,-1.38814270434241,1.0,0.397427654280788,1.0,,0.259259259259259,0.037037037037037
136,ANGT_MOUSE,ST-LT,-0.359277943767921,0.237221891331417,-1.51452271858832,2.0,0.269103393911914,0.9747154647406497,,0.314814814814815,0.0925925925925926
137,ANK1_MOUSE,ST-LT,inf,,,,,1.0,oneConditionMissing,0.659003831417625,0.21455938697318
138,ANK1_MOUSE;ANK2_MOUSE;ANK3_MOUSE,ST-LT,,,,,,1.0,,,
139,ANK2_MOUSE,ST-LT,-1.01714936211536,0.465450354679368,-2.18530150829091,5.0,0.080572494845907,0.6810322606734324,,0.561111111111111,0.338888888888889
140,ANK3_MOUSE,ST-LT,0.820998602780937,0.186076580226816,4.41215440320426,5.0,0.0069425979982114,0.43687359246201984,,0.365079365079365,0.253968253968254
141,ANKR2_MOUSE,ST-LT,1.56784780654887,0.389071762740016,4.02971368445604,4.0,0.0157372948583556,0.5228844899761071,,0.468253968253968,0.357142857142857
142,ANKS6_MOUSE,ST-LT,,,,,,1.0,,,
143,ANM1_MOUSE,ST-LT,0.16797065325353,0.440752342766978,0.381099853489229,4.0,0.722506150865217,1.0,,0.633333333333333,0.3
144,ANM3_MOUSE,ST-LT,inf,,,,,1.0,oneConditionMissing,,
145,ANM5_MOUSE,ST-LT,0.249547501173378,0.120759103512073,2.06649017685387,2.0,0.174748433178234,0.8758450530139289,,0.333333333333333,0.0
146,ANM7_MOUSE,ST-LT,-0.428784115203101,0.370289871530173,-1.15796879193916,1.0,0.453480791470307,1.0,,0.666666666666667,0.111111111111111
147,ANR17_MOUSE,ST-LT,0.0201437163386072,0.502718264523226,0.0400695931700659,2.0,0.971677884970217,1.0,,0.722222222222222,0.166666666666667
148,ANR46_MOUSE,ST-LT,0.474322137288502,0.425147024261238,1.11566613482175,4.0,0.327065215636968,1.0,,0.666666666666667,0.333333333333333
149,ANS1A_MOUSE,ST-LT,-inf,,,,,1.0,oneConditionMissing,0.777777777777778,0.0
150,ANTR2_MOUSE,ST-LT,0.965714984840917,0.290798824340224,3.32090402026888,5.0,0.0209874186659462,0.5516242782488155,,0.515151515151515,0.404040404040404
151,ANX11_MOUSE,ST-LT,-0.0097016423840952,0.409797541013943,-0.0236742327933227,5.0,0.982028220191481,1.0,,0.388888888888889,0.166666666666667
